"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
04047,836,958,209,194,937,454,1610,47,137
04048,695,831,169,143,789,425,1371,70,85
04049,555,640,190,133,600,272,1040,68,87
04050,959,1093,352,189,940,571,1836,111,105
04051,752,923,258,177,835,405,1462,79,134
04052,993,1210,323,252,990,638,1912,135,156
04053,824,877,209,239,946,307,1240,127,334
04054,499,569,173,102,494,299,898,60,110
04055,749,780,250,221,695,363,1204,226,99
04056,870,958,301,249,892,386,1309,234,285
04084,647,759,203,114,644,445,1249,47,110
05001,908,868,321,190,1059,206,1473,203,100
05002,770,805,281,170,823,301,1349,158,68
05003,687,706,244,171,774,204,1174,135,84
05004,492,656,180,172,481,315,983,73,92
05005,608,630,201,206,563,268,918,146,174
05006,909,919,344,268,820,396,1486,217,125
05007,919,885,274,168,962,400,1454,166,184
05008,779,900,311,180,812,376,1489,110,80
05009,768,926,260,201,843,390,1476,116,102
05010,709,857,280,163,776,347,1396,109,61
05011,637,755,221,126,764,281,1226,80,86
05012,632,742,222,135,745,272,1215,87,72
05013,806,875,281,166,909,325,1468,126,87
05014,776,886,316,143,818,385,1384,156,122
05015,726,880,353,135,819,299,1408,118,80
05016,890,1046,378,185,1021,352,1638,121,177
05017,737,862,279,197,775,348,1394,110,95
05018,570,698,196,151,611,310,1107,65,96
05019,793,932,322,199,825,379,1536,80,109
05020,523,608,140,124,616,251,989,57,85
05021,613,718,256,192,633,250,1100,57,174
05022,778,1028,305,157,875,469,1624,72,110
05023,673,824,257,132,779,329,1323,71,103
05024,916,1036,307,265,918,462,1757,113,82
05025,609,689,192,198,633,275,1194,38,66
05026,679,747,240,190,688,308,1313,54,59
05027,694,760,271,202,671,310,1332,58,64
05028,854,850,295,208,898,303,1496,93,115
05029,830,904,327,255,831,321,1571,85,78
05030,652,761,253,195,666,299,1333,25,55
05031,788,914,295,251,751,405,1481,103,118
05032,861,1027,292,270,888,438,1512,162,214
05033,657,746,282,166,664,291,1227,79,97
05034,597,691,244,115,655,274,1084,67,137
05035,529,552,122,115,508,336,1000,26,55
05036,822,942,299,248,836,381,1594,89,81
05037,628,827,233,173,711,338,1277,69,109
05038,620,736,163,134,742,317,1126,75,155
05039,711,819,259,166,728,377,1441,37,52
05040,634,801,208,158,793,276,1232,91,112
05041,922,977,253,215,1090,341,1487,149,263
